train_params/lambda_normal_consistency,epoch,train_params/lambda_sds,train/loss_sds,lr-AdamW,train/max_step,train/min_step,step,train/grad_norm
0.0,0,1.0,52241.15625,,500.0,20.0,260,323.23724365234375
,,,,0.01,,,261,
0.0,0,1.0,8833.6806640625,,500.0,20.0,261,132.9186248779297
,,,,0.01,,,262,
0.0,0,1.0,260.4151306152344,,500.0,20.0,262,22.821706771850586
,,,,0.01,,,263,
0.0,0,1.0,38375.1328125,,500.0,20.0,263,277.03839111328125
,,,,0.01,,,264,
0.0,0,1.0,44497.6171875,,500.0,20.0,264,298.3206787109375
,,,,0.01,,,265,
0.0,0,1.0,7073.72998046875,,500.0,20.0,265,118.9430923461914
,,,,0.01,,,266,
0.0,0,1.0,34648.10546875,,500.0,20.0,266,263.2417297363281
,,,,0.01,,,267,
0.0,0,1.0,904.7914428710938,,500.0,20.0,267,42.53919219970703
,,,,0.01,,,268,
0.0,0,1.0,1524.0596923828125,,500.0,20.0,268,55.20977783203125
,,,,0.01,,,269,
0.0,0,1.0,73433.5546875,,500.0,20.0,269,383.2324523925781
,,,,0.01,,,270,
0.0,0,1.0,83036.796875,,500.0,20.0,270,407.5212707519531
,,,,0.01,,,271,
0.0,0,1.0,56470.69921875,,500.0,20.0,271,336.0675354003906
,,,,0.01,,,272,
0.0,0,1.0,98121.421875,,500.0,20.0,272,442.9930419921875
,,,,0.01,,,273,
0.0,0,1.0,70158.0625,,500.0,20.0,273,374.58795166015625
,,,,0.01,,,274,
0.0,0,1.0,18501.916015625,,500.0,20.0,274,192.36380004882812
,,,,0.01,,,275,
0.0,0,1.0,13164.3212890625,,500.0,20.0,275,162.2610321044922
,,,,0.01,,,276,
0.0,0,1.0,34451.2578125,,500.0,20.0,276,262.4928894042969
,,,,0.01,,,277,
0.0,0,1.0,37074.4375,,500.0,20.0,277,272.30291748046875
,,,,0.01,,,278,
