lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
,,,5499,0.030609378591179848,0.2054135650396347,0.013360804878175259,0.011224566027522087,0.0008074273937381804,0.02503453567624092,0.005548929795622826,0.011571097187697887,223.37515258789062,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0002905782861196994,0.0029057828611969948,0.0002905782861196994,5599,,,,,,,,,,,,,,,,,,,,,,,,
,,,5599,0.02970576472580433,0.20017695426940918,0.01361316628754139,0.011108933947980404,0.0007967926794663072,0.025507517158985138,0.005280297249555588,0.011878129094839096,223.3310546875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00028361999308982916,0.0028361999308982927,0.00028361999308982916,5699,,,,,,,,,,,,,,,,,,,,,,,,
,,,5699,0.026134002953767776,0.1882539838552475,0.015033215284347534,0.010723257437348366,0.0008874664199538529,0.025193126872181892,0.004942066967487335,0.010370388627052307,217.24191284179688,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0002768283258685701,0.0027682832586857016,0.0002768283258685701,5799,,,,,,,,,,,,,,,,,,,,,,,,
,,,5799,0.02726857364177704,0.1860794723033905,0.013412157073616982,0.010319704189896584,0.0009188579861074686,0.025248724967241287,0.007696266286075115,0.010620241984724998,221.6146240234375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00027019929437387515,0.0027019929437387532,0.00027019929437387515,5899,,,,,,,,,,,,,,,,,,,,,,,,
,,,5899,0.027514414861798286,0.1889631301164627,0.012685110792517662,0.010514465160667896,0.0010663854191079736,0.0258493535220623,0.005193809047341347,0.011052733287215233,220.6618194580078,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0002637290040716496,0.0026372900407164966,0.0002637290040716496,5999,,,,,,,,,,,,,,,,,,,,,,,,
,,,5999,0.027329670265316963,0.1978921741247177,0.014208496548235416,0.010687680914998055,0.0009897174313664436,0.024480534717440605,0.006666962057352066,0.011657632887363434,215.806884765625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
,,,5999,,,,,,,,,,,,,,,,,,,,,,0,21.144805908203125,
0.00025741365368772424,0.002574136536877244,0.00025741365368772424,6099,,,,,,,,,,,,,,,,,,,,,,,,
,,,6099,0.03007618710398674,0.19746169447898865,0.013347877189517021,0.011671235784888268,0.0011455427156761289,0.025487463921308517,0.007446586154401302,0.01148728933185339,215.51092529296875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00025124953297462,0.0025124953297462047,0.00025124953297462,6199,,,,,,,,,,,,,,,,,,,,,,,,
,,,6199,0.026215489953756332,0.19201336801052094,0.013328513130545616,0.01167166605591774,0.0014037106884643435,0.02656114473938942,0.007466315757483244,0.011756147257983685,218.6892852783203,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00024523302053178973,0.0024523302053179033,0.00024523302053178973,6299,,,,,,,,,,,,,,,,,,,,,,,,
